    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
     0        4.38203             80        17.5405    4.14722e+07        30.8891        2.6e+13
     1        4.38274        80.0571        17.5405    4.14722e+07        30.8813    2.57981e+13
     2        4.38345        80.1142        17.5405    4.14722e+07        30.8735    2.55975e+13
     3        4.38417        80.1713        17.5405    4.14722e+07        30.8657    2.53981e+13
     4        4.38488        80.2285        17.5405    4.14722e+07        30.8579       2.52e+13
     5        4.38559        80.2857        17.5405    4.14722e+07          30.85    2.50032e+13
     6        4.38631         80.343        17.5405    4.14722e+07        30.8422    2.48075e+13
     7        4.38702        80.4003        17.5405    4.14722e+07        30.8343    2.46132e+13
     8        4.38773        80.4577        17.5405    4.14722e+07        30.8264      2.442e+13
     9        4.38844        80.5151        17.5405    4.14722e+07        30.8185    2.42281e+13
    10        4.38916        80.5725        17.5405    4.14722e+07        30.8106    2.40375e+13
    11        4.38987          80.63        17.5405    4.14722e+07        30.8027     2.3848e+13
    12        4.39058        80.6875        17.5405    4.14722e+07        30.7948    2.36598e+13
    13         4.3913        80.7451        17.5405    4.14722e+07        30.7869    2.34727e+13
    14        4.39201        80.8027        17.5405    4.14722e+07        30.7789    2.32869e+13
    15        4.39272        80.8603        17.5405    4.14722e+07         30.771    2.31023e+13
    16        4.39344         80.918        17.5405    4.14722e+07         30.763    2.29188e+13
    17        4.39415        80.9757        17.5405    4.14722e+07         30.755    2.27366e+13
    18        4.39486        81.0335        17.5405    4.14722e+07         30.747    2.25555e+13
    19        4.39558        81.0913        17.5405    4.14722e+07         30.739    2.23756e+13
    20        4.39629        81.1491        17.5405    4.14722e+07         30.731    2.21969e+13
    21          4.397         81.207        17.5405    4.14722e+07        30.7229    2.20194e+13
    22        4.39771        81.2649        17.5405    4.14722e+07        30.7149     2.1843e+13
    23        4.39843        81.3229        17.5405    4.14722e+07        30.7068    2.16678e+13
    24        4.39914        81.3809        17.5405    4.14722e+07        30.6988    2.14937e+13
    25        4.39985         81.439        17.5405    4.14722e+07        30.6907    2.13207e+13
    26        4.40057        81.4971        17.5405    4.14722e+07        30.6826     2.1149e+13
    27        4.40128        81.5552        17.5405    4.14722e+07        30.6745    2.09783e+13
    28        4.40199        81.6134        17.5405    4.14722e+07        30.6664    2.08088e+13
    29        4.40271        81.6716        17.5405    4.14722e+07        30.6583    2.06404e+13
    30        4.40342        81.7299        17.5405    4.14722e+07        30.6501    2.04731e+13
    31        4.40413        81.7882        17.5405    4.14722e+07         30.642     2.0307e+13
    32        4.40485        81.8465        17.5405    4.14722e+07        30.6338    2.01419e+13
    33        4.40556        81.9049        17.5405    4.14722e+07        30.6257     1.9978e+13
    34        4.40627        81.9633        17.5405    4.14722e+07        30.6175    1.98151e+13
    35        4.40698        82.0218        17.5405    4.14722e+07        30.6093    1.96534e+13
    36         4.4077        82.0803        17.5405    4.14722e+07        30.6011    1.94927e+13
    37        4.40841        82.1388        17.5405    4.14722e+07        30.5928    1.93332e+13
    38        4.40912        82.1974        17.5405    4.14722e+07        30.5846    1.91747e+13
    39        4.40984        82.2561        17.5405    4.14722e+07        30.5764    1.90172e+13
    40        4.41055        82.3147        17.5405    4.14722e+07        30.5681    1.88609e+13
    41        4.41126        82.3735        17.5405    4.14722e+07        30.5598    1.87056e+13
    42        4.41198        82.4322        17.5405    4.14722e+07        30.5516    1.85514e+13
    43        4.41269         82.491        17.5405    4.14722e+07        30.5433    1.83982e+13
    44         4.4134        82.5499        17.5405    4.14722e+07         30.535    1.82461e+13
    45        4.41412        82.6088        17.5405    4.14722e+07        30.5267     1.8095e+13
    46        4.41483        82.6677        17.5405    4.14722e+07        30.5183     1.7945e+13
    47        4.41554        82.7267        17.5405    4.14722e+07          30.51     1.7796e+13
    48        4.41625        82.7857        17.5405    4.14722e+07        30.5016     1.7648e+13
    49        4.41697        82.8447        17.5405    4.14722e+07        30.4933     1.7501e+13
    50        4.41768        82.9038        17.5405    4.14722e+07        30.4849    1.73551e+13
    51        4.41839         82.963        17.5405    4.14722e+07        30.4765    1.72102e+13
    52        4.41911        83.0221        17.5405    4.14722e+07        30.4681    1.70663e+13
    53        4.41982        83.0814        17.5405    4.14722e+07        30.4597    1.69234e+13
    54        4.42053        83.1406        17.5405    4.14722e+07        30.4513    1.67815e+13
    55        4.42125        83.1999        17.5405    4.14722e+07        30.4429    1.66405e+13
    56        4.42196        83.2593        17.5405    4.14722e+07        30.4344    1.65006e+13
    57        4.42267        83.3187        17.5405    4.14722e+07         30.426    1.63617e+13
    58        4.42339        83.3781        17.5405    4.14722e+07        30.4175    1.62237e+13
    59         4.4241        83.4376        17.5405    4.14722e+07         30.409    1.60867e+13
    60        4.42481        83.4971        17.5405    4.14722e+07        30.4005    1.59507e+13
    61        4.42553        83.5567        17.5405    4.14722e+07         30.392    1.58156e+13
    62        4.42624        83.6163        17.5405    4.14722e+07        30.3835    1.56815e+13
    63        4.42695        83.6759        17.5405    4.14722e+07         30.375    1.55484e+13
    64        4.42766        83.7356        17.5405    4.14722e+07        30.3664    1.54162e+13
    65        4.42838        83.7954        17.5405    4.14722e+07        30.3579    1.52849e+13
    66        4.42909        83.8551        17.5405    4.14722e+07        30.3493    1.51546e+13
    67         4.4298        83.9149        17.5405    4.14722e+07        30.3408    1.50253e+13
    68        4.43052        83.9748        17.5405    4.14722e+07        30.3322    1.48968e+13
    69        4.43123        84.0347        17.5405    4.14722e+07        30.3236    1.47693e+13
    70        4.43194        84.0947        17.5405    4.14722e+07         30.315    1.46427e+13
    71        4.43266        84.1546        17.5405    4.14722e+07        30.3063     1.4517e+13
    72        4.43337        84.2147        17.5405    4.14722e+07        30.2977    1.43922e+13
    73        4.43408        84.2747        17.5405    4.14722e+07        30.2891    1.42683e+13
    74         4.4348        84.3349        17.5405    4.14722e+07        30.2804    1.41454e+13
    75        4.43551         84.395        17.5405    4.14722e+07        30.2717    1.40233e+13
    76        4.43622        84.4552        17.5405    4.14722e+07        30.2631    1.39021e+13
    77        4.43693        84.5155        17.5405    4.14722e+07        30.2544    1.37818e+13
    78        4.43765        84.5758        17.5405    4.14722e+07        30.2457    1.36624e+13
    79        4.43836        84.6361        17.5405    4.14722e+07         30.237    1.35439e+13
    80        4.43907        84.6965        17.5405    4.14722e+07        30.2282    1.34262e+13
    81        4.43979        84.7569        17.5405    4.14722e+07        30.2195    1.33094e+13
    82         4.4405        84.8173        17.5405    4.14722e+07        30.2107    1.31934e+13
    83        4.44121        84.8778        17.5405    4.14722e+07         30.202    1.30784e+13
    84        4.44193        84.9384        17.5405    4.14722e+07        30.1932    1.29641e+13
    85        4.44264         84.999        17.5405    4.14722e+07        30.1844    1.28508e+13
    86        4.44335        85.0596        17.5405    4.14722e+07        30.1756    1.27382e+13
    87        4.44407        85.1203        17.5405    4.14722e+07        30.1668    1.26265e+13
    88        4.44478         85.181        17.5405    4.14722e+07         30.158    1.25157e+13
    89        4.44549        85.2418        17.5405    4.14722e+07        30.1492    1.24056e+13
    90         4.4462        85.3026        17.5405    4.14722e+07        30.1403    1.22964e+13
    91        4.44692        85.3634        17.5405    4.14722e+07        30.1315     1.2188e+13
    92        4.44763        85.4243        17.5405    4.14722e+07        30.1226    1.20804e+13
    93        4.44834        85.4853        17.5405    4.14722e+07        30.1137    1.19737e+13
    94        4.44906        85.5462        17.5405    4.14722e+07        30.1048    1.18677e+13
