    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
     0        4.38203             80        15.2302    4.11514e+06        30.8891        2.6e+13
     1        4.38274        80.0571        15.2302    4.11514e+06        30.8813    2.57981e+13
     2        4.38345        80.1142        15.2302    4.11514e+06        30.8735    2.55975e+13
     3        4.38417        80.1713        15.2302    4.11514e+06        30.8657    2.53981e+13
     4        4.38488        80.2285        15.2302    4.11514e+06        30.8579       2.52e+13
     5        4.38559        80.2857        15.2302    4.11514e+06          30.85    2.50032e+13
     6        4.38631         80.343        15.2302    4.11514e+06        30.8422    2.48075e+13
     7        4.38702        80.4003        15.2302    4.11514e+06        30.8343    2.46132e+13
     8        4.38773        80.4577        15.2302    4.11514e+06        30.8264      2.442e+13
     9        4.38844        80.5151        15.2302    4.11514e+06        30.8185    2.42281e+13
    10        4.38916        80.5725        15.2302    4.11514e+06        30.8106    2.40375e+13
    11        4.38987          80.63        15.2302    4.11514e+06        30.8027     2.3848e+13
    12        4.39058        80.6875        15.2302    4.11514e+06        30.7948    2.36598e+13
    13         4.3913        80.7451        15.2302    4.11514e+06        30.7869    2.34727e+13
    14        4.39201        80.8027        15.2302    4.11514e+06        30.7789    2.32869e+13
    15        4.39272        80.8603        15.2302    4.11514e+06         30.771    2.31023e+13
    16        4.39344         80.918        15.2302    4.11514e+06         30.763    2.29188e+13
    17        4.39415        80.9757        15.2302    4.11514e+06         30.755    2.27366e+13
    18        4.39486        81.0335        15.2302    4.11514e+06         30.747    2.25555e+13
    19        4.39558        81.0913        15.2302    4.11514e+06         30.739    2.23756e+13
    20        4.39629        81.1491        15.2302    4.11514e+06         30.731    2.21969e+13
    21          4.397         81.207        15.2302    4.11514e+06        30.7229    2.20194e+13
    22        4.39771        81.2649        15.2302    4.11514e+06        30.7149     2.1843e+13
    23        4.39843        81.3229        15.2302    4.11514e+06        30.7068    2.16678e+13
    24        4.39914        81.3809        15.2302    4.11514e+06        30.6988    2.14937e+13
    25        4.39985         81.439        15.2302    4.11514e+06        30.6907    2.13207e+13
    26        4.40057        81.4971        15.2302    4.11514e+06        30.6826     2.1149e+13
    27        4.40128        81.5552        15.2302    4.11514e+06        30.6745    2.09783e+13
    28        4.40199        81.6134        15.2302    4.11514e+06        30.6664    2.08088e+13
    29        4.40271        81.6716        15.2302    4.11514e+06        30.6583    2.06404e+13
    30        4.40342        81.7299        15.2302    4.11514e+06        30.6501    2.04731e+13
    31        4.40413        81.7882        15.2302    4.11514e+06         30.642     2.0307e+13
    32        4.40485        81.8465        15.2302    4.11514e+06        30.6338    2.01419e+13
    33        4.40556        81.9049        15.2302    4.11514e+06        30.6257     1.9978e+13
    34        4.40627        81.9633        15.2302    4.11514e+06        30.6175    1.98151e+13
    35        4.40698        82.0218        15.2302    4.11514e+06        30.6093    1.96534e+13
    36         4.4077        82.0803        15.2302    4.11514e+06        30.6011    1.94927e+13
    37        4.40841        82.1388        15.2302    4.11514e+06        30.5928    1.93332e+13
    38        4.40912        82.1974        15.2302    4.11514e+06        30.5846    1.91747e+13
    39        4.40984        82.2561        15.2302    4.11514e+06        30.5764    1.90172e+13
    40        4.41055        82.3147        15.2302    4.11514e+06        30.5681    1.88609e+13
    41        4.41126        82.3735        15.2302    4.11514e+06        30.5598    1.87056e+13
    42        4.41198        82.4322        15.2302    4.11514e+06        30.5516    1.85514e+13
    43        4.41269         82.491        15.2302    4.11514e+06        30.5433    1.83982e+13
    44         4.4134        82.5499        15.2302    4.11514e+06         30.535    1.82461e+13
    45        4.41412        82.6088        15.2302    4.11514e+06        30.5267     1.8095e+13
    46        4.41483        82.6677        15.2302    4.11514e+06        30.5183     1.7945e+13
    47        4.41554        82.7267        15.2302    4.11514e+06          30.51     1.7796e+13
    48        4.41625        82.7857        15.2302    4.11514e+06        30.5016     1.7648e+13
    49        4.41697        82.8447        15.2302    4.11514e+06        30.4933     1.7501e+13
    50        4.41768        82.9038        15.2302    4.11514e+06        30.4849    1.73551e+13
    51        4.41839         82.963        15.2302    4.11514e+06        30.4765    1.72102e+13
    52        4.41911        83.0221        15.2302    4.11514e+06        30.4681    1.70663e+13
    53        4.41982        83.0814        15.2302    4.11514e+06        30.4597    1.69234e+13
    54        4.42053        83.1406        15.2302    4.11514e+06        30.4513    1.67815e+13
    55        4.42125        83.1999        15.2302    4.11514e+06        30.4429    1.66405e+13
    56        4.42196        83.2593        15.2302    4.11514e+06        30.4344    1.65006e+13
    57        4.42267        83.3187        15.2302    4.11514e+06         30.426    1.63617e+13
    58        4.42339        83.3781        15.2302    4.11514e+06        30.4175    1.62237e+13
    59         4.4241        83.4376        15.2302    4.11514e+06         30.409    1.60867e+13
    60        4.42481        83.4971        15.2302    4.11514e+06        30.4005    1.59507e+13
    61        4.42553        83.5567        15.2302    4.11514e+06         30.392    1.58156e+13
    62        4.42624        83.6163        15.2302    4.11514e+06        30.3835    1.56815e+13
    63        4.42695        83.6759        15.2302    4.11514e+06         30.375    1.55484e+13
    64        4.42766        83.7356        15.2302    4.11514e+06        30.3664    1.54162e+13
    65        4.42838        83.7954        15.2302    4.11514e+06        30.3579    1.52849e+13
    66        4.42909        83.8551        15.2302    4.11514e+06        30.3493    1.51546e+13
    67         4.4298        83.9149        15.2302    4.11514e+06        30.3408    1.50253e+13
    68        4.43052        83.9748        15.2302    4.11514e+06        30.3322    1.48968e+13
    69        4.43123        84.0347        15.2302    4.11514e+06        30.3236    1.47693e+13
    70        4.43194        84.0947        15.2302    4.11514e+06         30.315    1.46427e+13
    71        4.43266        84.1546        15.2302    4.11514e+06        30.3063     1.4517e+13
    72        4.43337        84.2147        15.2302    4.11514e+06        30.2977    1.43922e+13
    73        4.43408        84.2747        15.2302    4.11514e+06        30.2891    1.42683e+13
    74         4.4348        84.3349        15.2302    4.11514e+06        30.2804    1.41454e+13
    75        4.43551         84.395        15.2302    4.11514e+06        30.2717    1.40233e+13
    76        4.43622        84.4552        15.2302    4.11514e+06        30.2631    1.39021e+13
    77        4.43693        84.5155        15.2302    4.11514e+06        30.2544    1.37818e+13
    78        4.43765        84.5758        15.2302    4.11514e+06        30.2457    1.36624e+13
    79        4.43836        84.6361        15.2302    4.11514e+06         30.237    1.35439e+13
    80        4.43907        84.6965        15.2302    4.11514e+06        30.2282    1.34262e+13
    81        4.43979        84.7569        15.2302    4.11514e+06        30.2195    1.33094e+13
    82         4.4405        84.8173        15.2302    4.11514e+06        30.2107    1.31934e+13
    83        4.44121        84.8778        15.2302    4.11514e+06         30.202    1.30784e+13
    84        4.44193        84.9384        15.2302    4.11514e+06        30.1932    1.29641e+13
    85        4.44264         84.999        15.2302    4.11514e+06        30.1844    1.28508e+13
    86        4.44335        85.0596        15.2302    4.11514e+06        30.1756    1.27382e+13
    87        4.44407        85.1203        15.2302    4.11514e+06        30.1668    1.26265e+13
    88        4.44478         85.181        15.2302    4.11514e+06         30.158    1.25157e+13
    89        4.44549        85.2418        15.2302    4.11514e+06        30.1492    1.24056e+13
    90         4.4462        85.3026        15.2302    4.11514e+06        30.1403    1.22964e+13
    91        4.44692        85.3634        15.2302    4.11514e+06        30.1315     1.2188e+13
    92        4.44763        85.4243        15.2302    4.11514e+06        30.1226    1.20804e+13
    93        4.44834        85.4853        15.2302    4.11514e+06        30.1137    1.19737e+13
    94        4.44906        85.5462        15.2302    4.11514e+06        30.1048    1.18677e+13
    95        4.44977        85.6073        15.2302    4.11514e+06        30.0959    1.17626e+13
    96        4.45048        85.6683        15.2302    4.11514e+06         30.087    1.16582e+13
    97         4.4512        85.7295        15.2302    4.11514e+06        30.0781    1.15547e+13
    98        4.45191        85.7906        15.2302    4.11514e+06        30.0692    1.14519e+13
    99        4.45262        85.8518        15.2302    4.11514e+06        30.0602    1.13499e+13
   100        4.45334         85.913        15.2302    4.11514e+06        30.0513    1.12487e+13
   101        4.45405        85.9743        15.2302    4.11514e+06        30.0423    1.11482e+13
   102        4.45476        86.0357        15.2302    4.11514e+06        30.0333    1.10486e+13
   103        4.45547         86.097        15.2302    4.11514e+06        30.0243    1.09497e+13
   104        4.45619        86.1585        15.2302    4.11514e+06        30.0153    1.08515e+13
   105         4.4569        86.2199        15.2302    4.11514e+06        30.0063    1.07541e+13
   106        4.45761        86.2814        15.2302    4.11514e+06        29.9973    1.06575e+13
   107        4.45833         86.343        15.2302    4.11514e+06        29.9882    1.05616e+13
   108        4.45904        86.4046        15.2302    4.11514e+06        29.9792    1.04665e+13
   109        4.45975        86.4662        15.2302    4.11514e+06        29.9701    1.03721e+13
   110        4.46047        86.5279        15.2302    4.11514e+06        29.9611    1.02784e+13
   111        4.46118        86.5896        15.2302    4.11514e+06         29.952    1.01855e+13
   112        4.46189        86.6514        15.2302    4.11514e+06        29.9429    1.00933e+13
   113        4.46261        86.7132        15.2302    4.11514e+06        29.9338    1.00018e+13
   114        4.46332         86.775        15.2302    4.11514e+06        29.9247    9.91102e+12
   115        4.46403        86.8369        15.2302    4.11514e+06        29.9155    9.82096e+12
   116        4.46475        86.8989        15.2302    4.11514e+06        29.9064    9.73161e+12
   117        4.46546        86.9609        15.2302    4.11514e+06        29.8972    9.64296e+12
   118        4.46617        87.0229        15.2302    4.11514e+06        29.8881    9.55502e+12
   119        4.46688         87.085        15.2302    4.11514e+06        29.8789    9.46777e+12
   120         4.4676        87.1471        15.2302    4.11514e+06        29.8697    9.38121e+12
   121        4.46831        87.2093        15.2302    4.11514e+06        29.8605    9.29534e+12
   122        4.46902        87.2715        15.2302    4.11514e+06        29.8513    9.21015e+12
   123        4.46974        87.3337        15.2302    4.11514e+06        29.8421    9.12564e+12
   124        4.47045         87.396        15.2302    4.11514e+06        29.8329     9.0418e+12
   125        4.47116        87.4584        15.2302    4.11514e+06        29.8236    8.95864e+12
   126        4.47188        87.5208        15.2302    4.11514e+06        29.8144    8.87614e+12
   127        4.47259        87.5832        15.2302    4.11514e+06        29.8051     8.7943e+12
   128         4.4733        87.6457        15.2302    4.11514e+06        29.7959    8.71312e+12
   129        4.47402        87.7082        15.2302    4.11514e+06        29.7866     8.6326e+12
   130        4.47473        87.7708        15.2302    4.11514e+06        29.7773    8.55272e+12
   131        4.47544        87.8334        15.2302    4.11514e+06         29.768    8.47349e+12
   132        4.47615         87.896        15.2302    4.11514e+06        29.7586     8.3949e+12
   133        4.47687        87.9587        15.2302    4.11514e+06        29.7493    8.31695e+12
   134        4.47758        88.0215        15.2302    4.11514e+06          29.74    8.23963e+12
   135        4.47829        88.0843        15.2302    4.11514e+06        29.7306    8.16294e+12
   136        4.47901        88.1471        15.2302    4.11514e+06        29.7213    8.08688e+12
   137        4.47972          88.21        15.2302    4.11514e+06        29.7119    8.01143e+12
   138        4.48043        88.2729        15.2302    4.11514e+06        29.7025    7.93661e+12
   139        4.48115        88.3359        15.2302    4.11514e+06        29.6931     7.8624e+12
